ROW;COL;TUBEx
1;36;TUBE.18
1;38;TUBE.19
1;40;TUBE.20
1;42;TUBE.21
1;44;TUBE.22
1;46;TUBE.23
1;48;TUBE.24
1;50;TUBE.25
1;52;TUBE.26
1;54;TUBE.27
2;33;TUBE.103
2;35;TUBE.104
2;37;TUBE.105
2;39;TUBE.106
2;41;TUBE.107
2;43;TUBE.108
2;45;TUBE.109
2;47;TUBE.110
2;49;TUBE.111
2;51;TUBE.112
2;53;TUBE.113
2;55;TUBE.114
3;34;TUBE.191
3;36;TUBE.192
3;38;TUBE.193
3;40;TUBE.194
3;42;TUBE.195
3;44;TUBE.196
3;46;TUBE.197
3;48;TUBE.198
3;50;TUBE.199
3;52;TUBE.200
3;54;TUBE.201
4;33;TUBE.276
4;35;TUBE.277
4;37;TUBE.278
4;39;TUBE.279
4;41;TUBE.280
4;43;TUBE.281
4;45;TUBE.282
4;47;TUBE.283
4;49;TUBE.284
4;51;TUBE.285
4;53;TUBE.286
4;55;TUBE.287
5;34;TUBE.363
5;36;TUBE.364
5;38;TUBE.365
5;40;TUBE.366
5;42;TUBE.367
5;44;TUBE.368
5;46;TUBE.369
5;48;TUBE.370
5;50;TUBE.371
5;52;TUBE.372
5;54;TUBE.373
