ROW;COL;TUBEx
E;1;TUBE.39
E;3;TUBE.40
D;2;TUBE.30
C;1;TUBE.20
C;3;TUBE.21
B;2;TUBE.11
A;3;TUBE.3
A;1;TUBE.1
E;24;TUBE.137
E;26;TUBE.138
E;28;TUBE.139
E;30;TUBE.140
E;32;TUBE.141
E;34;TUBE.142
E;36;TUBE.143
E;37;TUBE.233
E;39;TUBE.234
E;41;TUBE.235
D;40;TUBE.225
D;38;TUBE.224
D;35;TUBE.134
D;33;TUBE.133
D;31;TUBE.132
D;29;TUBE.131
D;27;TUBE.130
D;25;TUBE.129
C;24;TUBE.120
C;26;TUBE.121
C;28;TUBE.122
C;30;TUBE.123
C;32;TUBE.124
C;34;TUBE.125
C;36;TUBE.126
C;37;TUBE.214
C;39;TUBE.215
C;41;TUBE.216
B;40;TUBE.206
B;38;TUBE.205
B;35;TUBE.117
B;33;TUBE.116
B;31;TUBE.115
B;29;TUBE.114
B;27;TUBE.113
B;25;TUBE.112
A;24;TUBE.103
A;26;TUBE.104
A;28;TUBE.105
A;30;TUBE.106
A;32;TUBE.107
A;34;TUBE.108
A;36;TUBE.109
A;37;TUBE.195
A;39;TUBE.196
A;41;TUBE.197
