x_label;y_label;cl_x;cl_y;hl_x;hl_y;id7
1;A;0;0;0;0;TUBE.1
3;A;1.3258;0;0;0;TUBE.2
5;A;2.6516;0;0;0;TUBE.3
7;A;3.9774;0;0;0;TUBE.4
9;A;5.3032;0;0;0;TUBE.5
11;A;6.629;0;0;0;TUBE.6
13;A;7.9548;0;0;0;TUBE.7
15;A;9.2806;0;0;0;TUBE.8
17;A;10.6064;0;0;0;TUBE.9
19;A;11.9322;0;0;0;TUBE.10
2;B;0.6629;0.6629;0;0;TUBE.11
4;B;1.9887;0.6629;0;0;TUBE.12
6;B;3.3145;0.6629;0;0;TUBE.13
8;B;4.6403;0.6629;0;0;TUBE.14
10;B;5.9661;0.6629;0;0;TUBE.15
12;B;7.2919;0.6629;0;0;TUBE.16
14;B;8.6177;0.6629;0;0;TUBE.17
16;B;9.9435;0.6629;0;0;TUBE.18
18;B;11.2693;0.6629;0;0;TUBE.19
1;C;0;1.3258;0;0;TUBE.20
3;C;1.3258;1.3258;0;0;TUBE.21
5;C;2.6516;1.3258;0;0;TUBE.22
7;C;3.9774;1.3258;0;0;TUBE.23
9;C;5.3032;1.3258;0;0;TUBE.24
11;C;6.629;1.3258;0;0;TUBE.25
13;C;7.9548;1.3258;0;0;TUBE.26
15;C;9.2806;1.3258;0;0;TUBE.27
17;C;10.6064;1.3258;0;0;TUBE.28
19;C;11.9322;1.3258;0;0;TUBE.29
2;D;0.6629;1.9887;0;0;TUBE.30
4;D;1.9887;1.9887;0;0;TUBE.31
6;D;3.3145;1.9887;0;0;TUBE.32
8;D;4.6403;1.9887;0;0;TUBE.33
10;D;5.9661;1.9887;0;0;TUBE.34
12;D;7.2919;1.9887;0;0;TUBE.35
14;D;8.6177;1.9887;0;0;TUBE.36
16;D;9.9435;1.9887;0;0;TUBE.37
18;D;11.2693;1.9887;0;0;TUBE.38
1;E;0;2.6516;0;0;TUBE.39
3;E;1.3258;2.6516;0;0;TUBE.40
5;E;2.6516;2.6516;0;0;TUBE.41
7;E;3.9774;2.6516;0;0;TUBE.42
9;E;5.3032;2.6516;0;0;TUBE.43
11;E;6.629;2.6516;0;0;TUBE.44
13;E;7.9548;2.6516;0;0;TUBE.45
15;E;9.2806;2.6516;0;0;TUBE.46
17;E;10.6064;2.6516;0;0;TUBE.47
19;E;11.9322;2.6516;0;0;TUBE.48
2;F;0.6629;3.3145;0;0;TUBE.49
4;F;1.9887;3.3145;0;0;TUBE.50
6;F;3.3145;3.3145;0;0;TUBE.51
8;F;4.6403;3.3145;0;0;TUBE.52
10;F;5.9661;3.3145;0;0;TUBE.53
12;F;7.2919;3.3145;0;0;TUBE.54
14;F;8.6177;3.3145;0;0;TUBE.55
16;F;9.9435;3.3145;0;0;TUBE.56
18;F;11.2693;3.3145;0;0;TUBE.57
3;G;1.3258;3.9774;0;0;TUBE.58
5;G;2.6516;3.9774;0;0;TUBE.59
7;G;3.9774;3.9774;0;0;TUBE.60
9;G;5.3032;3.9774;0;0;TUBE.61
11;G;6.629;3.9774;0;0;TUBE.62
13;G;7.9548;3.9774;0;0;TUBE.63
15;G;9.2806;3.9774;0;0;TUBE.64
17;G;10.6064;3.9774;0;0;TUBE.65
19;G;11.9322;3.9774;0;0;TUBE.66
2;H;0.6629;4.6403;0;0;TUBE.67
4;H;1.9887;4.6403;0;0;TUBE.68
6;H;3.3145;4.6403;0;0;TUBE.69
8;H;4.6403;4.6403;0;0;TUBE.70
10;H;5.9661;4.6403;0;0;TUBE.71
12;H;7.2919;4.6403;0;0;TUBE.72
14;H;8.6177;4.6403;0;0;TUBE.73
16;H;9.9435;4.6403;0;0;TUBE.74
18;H;11.2693;4.6403;0;0;TUBE.75
3;I;1.3258;5.3032;0;0;TUBE.76
5;I;2.6516;5.3032;0;0;TUBE.77
7;I;3.9774;5.3032;0;0;TUBE.78
9;I;5.3032;5.3032;0;0;TUBE.79
11;I;6.629;5.3032;0;0;TUBE.80
13;I;7.9548;5.3032;0;0;TUBE.81
15;I;9.2806;5.3032;0;0;TUBE.82
17;I;10.6064;5.3032;0;0;TUBE.83
19;I;11.9322;5.3032;0;0;TUBE.84
4;J;1.9887;5.9661;0;0;TUBE.85
6;J;3.3145;5.9661;0;0;TUBE.86
8;J;4.6403;5.9661;0;0;TUBE.87
10;J;5.9661;5.9661;0;0;TUBE.88
12;J;7.2919;5.9661;0;0;TUBE.89
14;J;8.6177;5.9661;0;0;TUBE.90
16;J;9.9435;5.9661;0;0;TUBE.91
18;J;11.2693;5.9661;0;0;TUBE.92
5;K;2.6516;6.629;0;0;TUBE.93
7;K;3.9774;6.629;0;0;TUBE.94
9;K;5.3032;6.629;0;0;TUBE.95
11;K;6.629;6.629;0;0;TUBE.96
13;K;7.9548;6.629;0;0;TUBE.97
15;K;9.2806;6.629;0;0;TUBE.98
17;K;10.6064;6.629;0;0;TUBE.99
19;K;11.9322;6.629;0;0;TUBE.100
20;A;13.258;0;0;0;TUBE.101
22;A;14.5838;0;0;0;TUBE.102
24;A;15.9096;0;0;0;TUBE.103
26;A;17.2354;0;0;0;TUBE.104
28;A;18.5612;0;0;0;TUBE.105
30;A;19.887;0;0;0;TUBE.106
32;A;21.2128;0;0;0;TUBE.107
34;A;22.5386;0;0;0;TUBE.108
36;A;23.8644;0;0;0;TUBE.109
21;B;13.9209;0.6629;0;0;TUBE.110
23;B;15.2467;0.6629;0;0;TUBE.111
25;B;16.5725;0.6629;0;0;TUBE.112
27;B;17.8983;0.6629;0;0;TUBE.113
29;B;19.2241;0.6629;0;0;TUBE.114
31;B;20.5499;0.6629;0;0;TUBE.115
33;B;21.8757;0.6629;0;0;TUBE.116
35;B;23.2015;0.6629;0;0;TUBE.117
20;C;13.258;1.3258;0;0;TUBE.118
22;C;14.5838;1.3258;0;0;TUBE.119
24;C;15.9096;1.3258;0;0;TUBE.120
26;C;17.2354;1.3258;0;0;TUBE.121
28;C;18.5612;1.3258;0;0;TUBE.122
30;C;19.887;1.3258;0;0;TUBE.123
32;C;21.2128;1.3258;0;0;TUBE.124
34;C;22.5386;1.3258;0;0;TUBE.125
36;C;23.8644;1.3258;0;0;TUBE.126
21;D;13.9209;1.9887;0;0;TUBE.127
23;D;15.2467;1.9887;0;0;TUBE.128
25;D;16.5725;1.9887;0;0;TUBE.129
27;D;17.8983;1.9887;0;0;TUBE.130
29;D;19.2241;1.9887;0;0;TUBE.131
31;D;20.5499;1.9887;0;0;TUBE.132
33;D;21.8757;1.9887;0;0;TUBE.133
35;D;23.2015;1.9887;0;0;TUBE.134
20;E;13.258;2.6516;0;0;TUBE.135
22;E;14.5838;2.6516;0;0;TUBE.136
24;E;15.9096;2.6516;0;0;TUBE.137
26;E;17.2354;2.6516;0;0;TUBE.138
28;E;18.5612;2.6516;0;0;TUBE.139
30;E;19.887;2.6516;0;0;TUBE.140
32;E;21.2128;2.6516;0;0;TUBE.141
34;E;22.5386;2.6516;0;0;TUBE.142
36;E;23.8644;2.6516;0;0;TUBE.143
21;F;13.9209;3.3145;0;0;TUBE.144
23;F;15.2467;3.3145;0;0;TUBE.145
25;F;16.5725;3.3145;0;0;TUBE.146
27;F;17.8983;3.3145;0;0;TUBE.147
29;F;19.2241;3.3145;0;0;TUBE.148
31;F;20.5499;3.3145;0;0;TUBE.149
33;F;21.8757;3.3145;0;0;TUBE.150
35;F;23.2015;3.3145;0;0;TUBE.151
20;G;13.258;3.9774;0;0;TUBE.152
22;G;14.5838;3.9774;0;0;TUBE.153
24;G;15.9096;3.9774;0;0;TUBE.154
26;G;17.2354;3.9774;0;0;TUBE.155
28;G;18.5612;3.9774;0;0;TUBE.156
30;G;19.887;3.9774;0;0;TUBE.157
32;G;21.2128;3.9774;0;0;TUBE.158
34;G;22.5386;3.9774;0;0;TUBE.159
36;G;23.8644;3.9774;0;0;TUBE.160
21;H;13.9209;4.6403;0;0;TUBE.161
23;H;15.2467;4.6403;0;0;TUBE.162
25;H;16.5725;4.6403;0;0;TUBE.163
27;H;17.8983;4.6403;0;0;TUBE.164
29;H;19.2241;4.6403;0;0;TUBE.165
31;H;20.5499;4.6403;0;0;TUBE.166
33;H;21.8757;4.6403;0;0;TUBE.167
35;H;23.2015;4.6403;0;0;TUBE.168
20;I;13.258;5.3032;0;0;TUBE.169
22;I;14.5838;5.3032;0;0;TUBE.170
24;I;15.9096;5.3032;0;0;TUBE.171
26;I;17.2354;5.3032;0;0;TUBE.172
28;I;18.5612;5.3032;0;0;TUBE.173
30;I;19.887;5.3032;0;0;TUBE.174
32;I;21.2128;5.3032;0;0;TUBE.175
34;I;22.5386;5.3032;0;0;TUBE.176
36;I;23.8644;5.3032;0;0;TUBE.177
21;J;13.9209;5.9661;0;0;TUBE.178
23;J;15.2467;5.9661;0;0;TUBE.179
25;J;16.5725;5.9661;0;0;TUBE.180
27;J;17.8983;5.9661;0;0;TUBE.181
29;J;19.2241;5.9661;0;0;TUBE.182
31;J;20.5499;5.9661;0;0;TUBE.183
33;J;21.8757;5.9661;0;0;TUBE.184
35;J;23.2015;5.9661;0;0;TUBE.185
20;K;13.258;6.629;0;0;TUBE.186
22;K;14.5838;6.629;0;0;TUBE.187
24;K;15.9096;6.629;0;0;TUBE.188
26;K;17.2354;6.629;0;0;TUBE.189
28;K;18.5612;6.629;0;0;TUBE.190
30;K;19.887;6.629;0;0;TUBE.191
32;K;21.2128;6.629;0;0;TUBE.192
34;K;22.5386;6.629;0;0;TUBE.193
36;K;23.8644;6.629;0;0;TUBE.194
37;A;25.1902;0;0;0;TUBE.195
39;A;26.516;0;0;0;TUBE.196
